productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
Tossido Men Black Textured Leather Belt,Tossido,674,4,Black textured beltReversible: NoStretchable: NoSecured with a tangWarranty: 6 monthsWarranty provided by brand/manufacturer,Red,0,1,13,6
Van Heusen Sport Men Grey & White Slim Fit Checked Casual Shirt,Van Heusen Sport,1126,5,"\"Grey and White checked casual shirt",has a spread collar,0,1,6,12
NIZA Women Navy Blue & Pink Printed A-Line Dress,NIZA,6490,5,"\"Navy and pink printed woven A-line dress",has a V-neck with embroidered detail,1,1,7,9
U.S. Polo Assn. Men Navy Blue Slim Fit Embroidered Polo Collar T-shirt,U.S. Polo Assn.,949,6,"\"Navy blue embroidered t-shirt",polo collar,0,1,4,12
VarEesha Brown Dual Colour Wooden Serving Bowl with Lid,VarEesha,1471,5,"\"Pattern: TexturedFinish: MatteMaterial: WoodAbout Collection:VarEesha presents kitchen and dining collection of hand crafted pieces with ethnic looks that can match today's modern style dining too. Made of various types of wood",this collection showcases small dining ware and serve ware collectibles that add a rustic charm to your dining experience. Each piece is hand carved uniquely and thus may differ slightly from the image in shade or pattern adding to its authentic natural look. Organise your home with Dual Wood Multipurpose Box/ Chapati Casserole from this bouquet. The holder is made of Steam Beech and Sheesham wood and depicts a cute little turtle from the famous story. For maintenance,2,1,31,9
United Colors of Benetton Boys Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,United Colors of Benetton,1299,3,"\"Grey light wash 5-pocket mid-rise jeans",clean look,0,0,6,13
SEIKO Men Brown Analogue watch SGEH90P1,SEIKO,19500,6,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time",Date ApertureStrap style: Silver-Toned bracelet style,0,1,13,6
KARATCART White 22K Gold-Plated Kundan Stone-Studded Jewellery Set,KARATCART,698,5,"\"This?jewellery set?consists of a necklace",a pair of earrings and a?maang tikaWhite 22K gold-plated kundan stone-studded necklace with beaded detail,1,1,5,8
COVER STORY Women Multicoloured Printed Round Neck T-shirt,COVER STORY,503,5,"\"Multicoloured printed T-shirt",has a round neck,1,1,3,8
Moda Rapido Men White & Black Regular Fit Printed Casual Shirt,Moda Rapido,599,5,"\"White and Black printed casual shirt",has a slim collar,0,1,6,11
Moda Rapido Women Black & Yellow Printed Styled Back Top,Moda Rapido,699,5,"\"Black and yellow printed styled back top",has a boat neck,1,1,7,10
Newport Women Navy Blue Solid Skinny Fit Yoga Tights,Newport,799,5,"\"Navy blue solid tights","has an elasticated waistband\"",1,1,4,9
Pepe Jeans Boys Navy Blue Slim Fit Clean Look Stretchable Jeans,Pepe Jeans,749,4,"\"Navy Blue medium wash 5-pocket mid-rise jeans",clean look,0,0,7,11
Puma Unisex Black Roma 68 Gum Sneakers,Puma,3499,7,"\"About the shoeKickin' it since 1968",the Roma is a PUMA classic. It has weaved its way through every moment of PUMA's history and made a name for itself on the track and the streets. Roma '68 Gum celebrates this heritage with a sleek leather upper featuring an all-over embossed PUMA Cat print and classic gum rubber outsole for a sporty,2,1,6,7
Puma Women Grey & Pink Colourblocked Force IDP Sports Sandals,Puma,1754,5,"\"A pair of grey and pink colourblocked sports sandals","secured with Velcro closuresSynthetic upperCushioned footbedTextured outsole with patterned groovesWarranty: 3 monthsWarranty provided by Brand Owner/Manufacturer\"",1,1,9,10
Raymond Men Navy Blue Contemporary Regular Fit Self Design Formal Shirt,Raymond,949,5,"\"Navy Blue self-design formal shirt",has a spread collar,0,1,5,11
Sonari Pack of 2 Bras catwalk,Sonari,780,2,"\"Pack of two full-coverage bras in blackEach bra?has non-padded and non-wired cups",a bow detail on the centre front,1,1,12,6
Calvin Klein Jeans Men Blue & White Printed Slim Fit  Casual Shirt,Calvin Klein Jeans,3599,6,"\"Blue and White printed casual shirt",has a spread collar,0,1,6,13
612 league Girls Blue Solid Shirt Style Top,612 league,657,3,"\"Blue solid woven shirt style  top",has a mandarin collar,1,0,7,8
AccessHer Gold-Plated & Black Multistrand Head Chain,AccessHer,559,3,Gold-plated and black multistranded head chain Secured with insert closure,Black,1,1,10,7
Park Avenue Women Red & Off-White Regular Fit Checked Casual Shirt,Park Avenue,599,5,"\"Red and off-white checked casual shirt",has a spread collar,1,1,6,11
Geox Women Black Textured Leather Ballerinas,Geox,3999,5,"\"A pair of black square toe ballerinas",has regular styling,1,1,7,6
Veni Vidi Vici Women Pink Solid Cropped Bardot Top,Veni Vidi Vici,468,5,"\"Pink solid knitted cropped bardot top","has long sleeves\"",1,1,6,9
Coolers Men Black Sandals,Coolers,699,5,A pair of black comfort sandalsSynthetic upper with slip-on closureCushioned footbedPatterned rubber outsole,Black,0,1,13,4
CLAY CRAFT White Set of 4 Tea-Shaped Dipping Bowls,CLAY CRAFT,597,3,Content: 4 tea-shaped bowlsPattern: SolidFinish: GlossyMaterial: CeramicFeatures: Dishwasher and microwave safe,White,2,1,11,9
Soumya White & Red Single Long Door Curtain,Soumya,1263,4,Set content: Single Long Door curtainColour: White and RedPattern: Ethnic MotifsLight blocking: RegularFitting: EyeletLining: No,Red,2,1,15,8
LA LOFT Women Off-White Floral Printed Shirt Style Top,LA LOFT,611,5,"\"Off-White and Blue printed woven shirt style  top",has a V-neck,1,1,9,9
Soumya Lime Green Solid Single Door Curtain,Soumya,712,4,Set content: Single Door curtainColour: Lime greenPattern: SolidLight blocking: RegularFitting: EyeletLining: No,Green,2,1,12,7
CASIO Sheen Women Beige Multi-Dial Watch SHE-3058PGL-9AUDF - SX255,CASIO,6296,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round stainless steel dialFeatures: Reset Time",CalendarStrap style: Brown regular,1,1,13,9
Puma Men Red Pacer EL IDP Sneakers,Puma,1799,5,"\"Product Design DetailsA pair of round-toe red sneakersFabric upperLace closure for snug fitPadded collarRubber outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerPRODUCT STORYWith bold PUMA branding and graphic texture on the upper","Pacer EL IDP is sure to upgrade your style quotient.\"",0,1,30,7
Ecko Unltd Men Blue Super Slim Fit Mid-Rise Clean Look Stretchable Jeans,Ecko Unltd,1299,7,"\"Blue light wash 5-pocket mid-rise jeans",clean look,0,1,6,12
Indian Terrain Boys White Printed Round Neck T-shirt,Indian Terrain,449,5,"\"White printed T-shirt",has a round neck,0,0,3,8
Karmic Vision Women Pink & White Printed A-Line Dress,Karmic Vision,699,5,"\"Pink and White printed woven A-line dress",has a round neck,1,1,7,9
Flying Machine Men Blue & Black Slim Fit Checked Casual Shirt,Flying Machine,759,5,"\"Blue and black checked casual shirt",has a button-down collar,0,1,6,11
Mast & Harbour Women Navy Blue Solid Bomber Jacket,Mast & Harbour,3999,7,"\"Navy Blue solid jacket",has a stand collar,1,1,4,9
Indian Terrain Boys Rust Brown Regular Fit Self Design Trousers,Indian Terrain,629,4,"\"Rust Brownself-design mid-rise trousers",button closure,0,0,4,10
OddCroft Black & Brown Solid Bedside Table Lamp,OddCroft,3403,4,Type: Bedside Table Lamp Colour: Black and Brown Pattern: Solid Shape: Geometric Base material: Metal Comes with bulb,Black,2,1,18,8
Indian Terrain Men Off-White Kansas Regular Fit Self Design Regular Trousers,Indian Terrain,1759,5,"\"Off-White self-design mid-rise trousers",button closure,0,1,4,11
GAP Baby Girls First Favorite Print Flutter Shorty One-Piece,GAP,1999,4,"\"Made for easy outfittingStock up on pieces for sleep",play,1,0,9,9
Indian Terrain Men White & Black Slim Fit Checked Casual Shirt,Indian Terrain,989,5,"\"White and Black checked casual shirt",has a spread collar,0,1,6,11
Soie Women Red Printed Knee-Length Sleep Shirts NT-98CAYENNE-4,Soie,936,5,"\"Red printed knee-length sleep shirts",has a round neck,1,1,5,8
Indian Terrain Men Brown & Blue Slim Fit Checked Casual Shirt,Indian Terrain,899,5,"\"Brown and Blue checked casual shirt",has a slim collar,0,1,6,11
HERE&NOW Women Black Solid Puffer Jacket,HERE&NOW,1439,7,"\"Black solid jacket",has a mock collar,1,1,3,6
WROGN Men Mustard Yellow Slim Fit Solid Biker Jacket,WROGN,3999,7,"\"Mustard yellow solid biker jacket",has a stand collar,0,1,5,9
Saint G Women Black Solid  Leather Heeled Boots,Saint G,6500,5,"\"A pair of black round toe heeled boots",has regular styling,1,1,8,9
Z-ZOOM Unisex Rectangle Sunglasses 55071,Z-ZOOM,1497,5,Lens colour: GreyLens feature: Polarised LensFrame material: MetalFrame style: Full RimBest suited for: Oval face shapeComes in a Z-ZOOM coverWarranty: 2 yearsWarranty provided by brand/manufacturer,"",2,1,25,5
Cortina Brown Set of 2 Printed Window Curtains,Cortina,450,4,Set content: Set of window curtainColour: BrownPattern: Floral DoorLight blocking: RegularFitting: Eyelet,Brown,2,1,12,8
SWAROVSKI Necklace,SWAROVSKI,4690,3,"\"Keep it chic and simple with the Attract Necklace. Timeless and elegant",the rhodium plated design features a dazzling square-cut stone. Ideal for any occasion,1,1,12,2
GNIST Women Black Solid Wedges,GNIST,849,5,"\"A pair of black open toe wedges",has mid-top styling,1,1,7,5
U.S. Polo Assn. Kids Girls Yellow & Purple Printed Top,U.S. Polo Assn. Kids,454,3,"\"Yellow and purple printed knitted regular top",has a round neck,1,0,7,10
Instacrush Women Black & White Striped Open Front Shrug,Instacrush,1084,5,"\"Black striped open front regular shrug",has long sleeves,1,1,6,9
W Women Maroon & Golden Embroidered Kurta with Sharara & Dupatta,W,3899,9,"\"This kurta set consists of a kurta",sharara and dupattaMaroon and golden embroidered straight above knee kurta with sequinned detail,1,1,7,11
Ira Soleil Women Gold-Toned Embellished Top,Ira Soleil,599,5,"\"Gold-Toned embellished woven regular top",has a round neck,1,1,5,6
HERE&NOW Men Teal Blue Solid Round Neck T-shirt,HERE&NOW,699,5,"\"Teal blue solid T-shirt",has a round neck,0,1,4,8
U.S. Polo Assn. Kids Girls Red Solid Jacket,U.S. Polo Assn. Kids,2999,3,"\"Red solid jacket",has a stand collar,1,0,3,8
U.S. Polo Assn. Kids Boys Green & Blue Striped Round Neck T-shirt,U.S. Polo Assn. Kids,699,4,"\"Green and Blue striped T-shirt",has a round neck,0,0,5,12
United Colors of Benetton Men Lime Green & Navy Blue Solid Thong Flip-Flops,United Colors of Benetton,499,5,A pair of lime green and navy blue solid flip flopsRubber upper materialCushioned footbedPatterned rubber outsoleWarranty: 1 monthWarranty provided by brand/manufacturer,Blue,0,1,21,13
W Women Navy Blue & Peach-Coloured Striped Top with Palazzos,W,1799,5,"\"This clothing set consists of top and palazzosNavy Blue and peach-coloured striped top",has a tie-up neck,1,1,13,10
Ed Hardy Men Navy Blue & Green Slim Fit Checked Casual Shirt,Ed Hardy,1349,5,"\"Navy blue and green checked casual shirt",has a spread collar,0,1,7,12
Flying Machine Boys Blue Striped Polo Collar T-shirt,Flying Machine,404,3,"\"Blue and White striped T-shirt",has a polo collar,0,0,5,8
GAP Women Utility Jacket,GAP,1999,7,"\"Smooth","stretch garment-dyed twill weaveLong sleeves with button cuffsStand collar and button closureUtility pockets at chest and at hip\"",1,1,1,4
Zivame Blue Printed Underwired Lightly Padded T-shirt Bra ZI1812FASHASRTD,Zivame,499,4,Blue printed half-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Blue,1,1,23,9
Braun HD130 Satin Hair Dryer - Black,Braun,1476,2,HD130 Satin Hair Dryer - Black,Black,1,1,6,7
Inc 5 Women Tan Brown Solid Heels,Inc 5,766,5,"\"A pair of tan brown open toe heels",has regular styling,1,1,8,7
Ecko Unltd Men Cream-Coloured & Navy Blue Colourblocked Polo Collar T-shirt,Ecko Unltd,699,5,"\"Cream-coloured and Navy Blue colourblocked T-shirt",has a polo collar,0,1,6,11
Global Desi Women Mustard Yellow & Maroon Printed Regular Top,Global Desi,449,5,"\"Mustard yellow and Maroon printed woven regular top",has a tie-up neck,1,1,8,10
Eske Women Black Embellished Leather Open Toe Flats,Eske,1899,5,"\"A pair of black embellished open-toed flats",has regular styling,1,1,7,8
Lapis O Lupo Black Solid Sling Bag,Lapis O Lupo,755,5,"\"Black solid sling bag",has a button closure1 main compartment,1,1,4,7
Pepe Jeans Boys Multicoloured Regular Fit Striped Casual Shirt,Pepe Jeans,649,4,"\"Multicoloured striped casual shirt",has a spread collar,0,0,4,9
Calvin Klein Jeans Men Red Printed Slim Fit Round Neck T-shirt,Calvin Klein Jeans,2199,5,"\"Red printed T-shirt",has a round neck,0,1,3,11
Flying Machine Women Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Flying Machine,719,7,"\"Blue medium wash 3-pocket mid-rise jeans",clean look,1,1,6,11
Sonari Pack of 2 Bras,Sonari,780,4,"\"Pack of two full-coverage bras in cream-coloured and whiteEach bra?has non-padded and non-wired cups",a bow detail on the centre front,1,1,14,5
109F Women Blue Dyed Straight Maxi Skirt,109F,1299,5,"\"Blue dyed straight maxi skirt",has an elasticated waistband,1,1,5,7
Saadgi Beige Gotta Patti Dupatta,Saadgi,880,2,Beige gotta patti Dupatta,Beige,1,1,4,5
PARFAIT Plus Size Nude-Coloured Solid Underwired Lightly Padded Balconette Bra P5011,PARFAIT,1819,4,Nude-coloured solid medium-coverage Balconette braLightly Padded and Underwired seamless cupsMultiway straps and back closureBack style: RegularFeature: All Day Comfort,Red,1,1,19,11
Parx Men Blue Original Tapered Fit Solid Regular Trousers,Parx,734,5,"\"Blue solid mid-rise regular trousers",has a button closure,0,1,5,9
Vishudh Women Black & Maroon Embroidered Straight Kurta,Vishudh,503,5,"\"Black and Maroon embroidered straight kurta",has a mandarin collar,1,1,6,8
Bitiya by Bhama Girls Blue Solid Chambray Fit and Flare Dress,Bitiya by Bhama,739,5,"\"Blue solid woven fit and flare dress",has a round neck,1,0,7,11
Geox Women Black Solid Leather Open Toe Flats,Geox,3599,5,"\"A pair of black open-toed flats",has regular styling,1,1,6,8
Roadster Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans,Roadster,839,7,"\"Blue medium wash 5-pocket mid-rise jeans",mildly distressed,1,1,6,11
Cherry Crumble Girls Grey Melange Self-Design Sweater,Cherry Crumble,839,3,"\"Grey Melange self-design sweater",has a round neck,1,0,4,7
Roadster Women Grey Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Roadster,1299,5,"\"Grey dark wash 5-pocket mid-rise cropped jeans",clean look,1,1,7,11
Titan Workwear Women White Analogue watch NL2588KM01,Titan,3836,4,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time",CalendarStrap style: Silver-Toned regular,1,1,12,7
Da Intimo Women Black Solid Skinny-Fit Tights,Da Intimo,659,5,"\"Black solid skinny-fit tights",has an elasticated waistband,1,1,4,7
ROMEE Brown Set of 3 Self Design Square Cushion Covers,ROMEE,839,5,Set content: 3 Cushion Covers Colour: Brown Shape: Square Pattern: Self Design Closure: Zip,Brown,2,1,14,10
ELLE Red Striped Shoulder Bag,ELLE,1377,5,"\"Red striped shoulder bag",has a zip closure1 main compartment,1,1,4,5
Vishudh Women Blue & Gold-Toned Solid Kurta with Palazzos & Dupatta,Vishudh,1199,5,"\"Blue and gold-toned solid kurta with palazzos and dupatta Blue and gold-toned straight calf length kurta",has a round neck,1,1,16,11
Newport Men Red Printed Round Neck T-shirt,Newport,399,5,"\"Red and grey printed T-shirt",has a round neck,0,1,5,7
Vishudh Red Embroidered Shirt-Style Tunic,Vishudh,1299,5,"\"Red embroidered shirt-style tunic",has a shirt collar with button closures,1,1,4,5
Marie Claire Women Off-White & Blue Printed Open Front Shrug,Marie Claire,645,5,"\"Off-White printed open front regular shrug",has short sleeves,1,1,6,10
Roadster Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,1299,7,"\"Blue light wash 5-pocket mid-rise jeans",clean look,0,1,6,10
IMYOUNG Men Navy Blue Printed Scoop Neck T-shirt,IMYOUNG,699,5,"\"Navy Blue printed T-shirt",has a scoop neck,0,1,4,8
Indian Terrain Boys Light Grey Printed Sweatshirt,Indian Terrain,559,4,"\"Light grey printed sweatshirt",round neck,0,0,4,7
GIORDANO Blue Textured Shoulder Bag,GIORDANO,1396,5,"\"Blue textured shoulder bag",has a zip closure1 main compartments,1,1,4,5
Calvin Klein Men Black Solid Backpack,Calvin Klein,12349,6,Black backpackNon-Padded haul loop1 main compartment with zip closureNon-Padded backZip PocketPadded shoulder strap: Non-PaddedWater-resistance: No,Black,0,1,15,6
Mast & Harbour Women Mustard Yellow & Grey Striped Sweater,Mast & Harbour,449,5,"\"Mustard yellow and Grey striped sweater",has a round neck,1,1,6,10
Indian Terrain Boys Grey Melange Boys Glow-in-the-Dark T-shirt,Indian Terrain,404,5,"\"Grey melange Glow-in-the-Dark print T-shirt",has a round neck,0,0,5,8
CHROME & CORAL Women Blue Printed Joggers LWR_5001,CHROME & CORAL,1499,5,"\"A pair of blue printed joggers","has an elasticated waistband with drawstring fastening\"",1,1,6,8
Force NXT Men Blue & White Printed Lounge Pants,Force NXT,659,5,"\"Blue & white printed Lounge Pants",has a drawstring closure,0,1,6,9
Indian Terrain Men Beige & White Urban Fit Self Design Regular Trousers,Indian Terrain,1079,7,"\"Beige and White self-design low-rise trousers",button closure,0,1,6,12
KazarMax Women Pink & White Camouflage Print Slip-On Sneakers,KazarMax,1124,5,"\"A pair of round-toe pink & white slip-on sneakers",has regular styling,1,1,9,9
Indian Terrain Men Red & White Chiseled Fit Checked Semiformal Shirt,Indian Terrain,944,5,"\"Red and white checked semiformal shirt",has a spread collar,0,1,6,11
Indian Terrain Men Peach-Coloured Slim Fit Checked Smart Casual Shirt,Indian Terrain,899,5,"\"Peach-coloured checked smart casual shirt",has a spread collar,0,1,5,10
Indian Terrain Men Pink & Blue Slim Fit Checked Smart Casual Shirt,Indian Terrain,989,6,"\"Pink and Blue checked smart casual shirt",has a spread collar,0,1,7,12
Indian Terrain Men White & Blue Slim Fit Checked Smart Casual Linen Shirt,Indian Terrain,1304,6,"\"White and Blue checked casual shirt",has a spread collar,0,1,6,13
Jack & Jones Men Grey Melange New Marsails Solid Slim Fit Single-Breasted Blazer,Jack & Jones,2274,5,"\"Grey Melange solid slim fit single-breasted blazer",has a notched lapel,0,1,7,13
GIO COLLECTION Women Oval Sunglasses GM1020C01,GIO COLLECTION,1615,5,Lens colour: GreyLens feature: UV Protected LensFrame material: PolycarbonateFrame style: Full RimBest suited for: Oval face shapeComes in a GIO COLLECTION coverWarranty: 1 yearWarranty provided by brand/manufacturer,"",1,1,27,6
SPRAY GROUND Unisex Brown & Black Geometric Backpack,SPRAY GROUND,8104,5,Brown backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: Non-PaddedWater-resistance: NoWarranty: 1 yearWarranty provided by brand/manufacturer,Black,2,1,20,8
Lavie Women Taupe Solid Shoulder Bag,Lavie,4559,6,"\"Taupe solid shoulder bag",has a zip closure2 main compartments,1,1,4,6
Alina decor Peach-Coloured & Silver-Toned Set of 2 Ethnic Motifs Rectangle Cushion Covers,Alina decor,571,5,Set content: 2 Cushion CoversColour: Peach-Coloured and silver-tonedShape: RectanglePattern: Ethnic MotifsOrnamentation: EmbellishedClosure: Zip,Red,2,1,13,13
Harvard Men Brown Solid Thong Flip-Flops,Harvard,999,5,A pair of brown solid flip flopsSynthetic upper materialCushioned footbedPatterned rubber outsoleWarranty: 15 daysWarranty provided by brand/manufacturer,Brown,0,1,17,6
Cortina Orange Set of 2 Door Curtains,Cortina,2067,4,Set content: 2 Door curtainsColour: OrangePattern: Ethnic Motifs DoorLight blocking: Room DarkeningFitting: EyeletLining: No,Orange,2,1,14,7
W Women Navy Blue & Off-White Printed Maxi Dress,W,1999,5,"\"Navy Blue and Off-white printed woven maxi dress with gathers and pleats",has a keyhole neck,1,1,12,9
Van Heusen Sport Men Navy Blue Tight Slim Fit Printed Casual Shirt,Van Heusen Sport,979,5,"\"Navy Blue printed casual shirt",has a spread collar,0,1,5,12
Global Desi Women Navy Blue Yoke Design A-Line Kurta,Global Desi,674,4,"\"Navy blue yoke design A-line kurta",has a round neck,1,1,6,9
Franco Leone Men Multicoloured Printed Sneakers,Franco Leone,959,5,"\"A pair of round-toe multicoloured sneakers",has regular styling,0,1,6,6
W Women Beige & Grey Printed Straight Kurta,W,849,5,"\"Beige and Grey striped straight kurta with printed detail",has a mandarin collar with button closure,1,1,9,8
AND Women Yellow Solid Shirt Style Top,AND,524,5,"\"Yellow solid woven shirt style top with ruffle detailing",has a V-neck,1,1,9,7
U.S. Polo Assn. Kids Boys Pink Solid Polo Collar T-shirt,U.S. Polo Assn. Kids,649,3,"\"Pink solid T-shirt",has a polo collar,0,0,3,10
Raymond Men Grey Melange Solid Slim Fit Single-Breasted Smart Casual Blazer,Raymond,2399,5,"\"Grey melange solid smart casual blazer",has a notched lapel collar,0,1,6,11
Roadster Women Teal Green Regular Fit Solid Cropped Trousers,Roadster,499,7,"\"Teal green solid mid-rise cropped trousers with studded detail",has a button closure,1,1,9,9
W Women Blue & Golden Printed Kurta with Salwar & Dupatta,W,3899,8,"\"Blue and golden printed kurta with salwar and dupattaBlue and green printed A-line above knee kurta",has a round neck,1,1,16,11
GAP Girls Graphic Raglan Top,GAP,1299,3,Soft knitLong contrast raglan sleevesCrewneckCute graphics at chest,"",1,0,8,5
Gini and Jony Girls Blue & White Floral Print Regular Fit Shorts,Gini and Jony,719,3,"\"Blue and white floral print mid-rise regular shorts with layered and pleated detail","has elasticated waistband with slip-on closure\"",1,0,13,12
Basics Men Olive Green Slim Fit Checked Casual Shirt,Basics,1539,5,"\"Olive Green checked casual shirt",has a spread collar,0,1,5,9
Flying Machine Boys Red and Navy Blue Colourblocked Polo Collar T-shirt,Flying Machine,479,3,"\"Red and Black colourblocked T-shirt",has a polo collar,0,0,5,11
Soie Women Cream-Coloured Printed Lounge T-shirts,Soie,616,5,"\"Cream-coloured printed lounge t-shirts",has a round neck,1,1,4,6
Flying Machine Boys Maroon & White Regular Fit Checked Casual Shirt,Flying Machine,909,3,"\"Maroon and White checked casual shirt",has a button-down collar,0,0,6,11
Pepe Jeans Boys Burgundy Printed Round Neck T-shirt,Pepe Jeans,349,4,"\"Burgundy printed T-shirt",has a round neck,0,0,3,8
U.S. Polo Assn. Men Assorted Printed Trunk Z9I616-615,U.S. Polo Assn.,295,4,"\"Assorted printed trunk",has an?outer elasticated waistband,0,1,3,8
Puma Unisex Black Nucleus Run-High Risk Red,Puma,2749,5,Product designn DetailsA pair of round-toe black sneakersHas regular stylingLace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer,Red,2,1,21,7
Sonari Pack of 2 Full-Coverage Bras afreen,Sonari,750,4,"\"Pack of two bras in lavender and purpleTwo full-coverage bras",have non-padded and non-wired cups,1,1,10,7
Belle Fille Women Green Solid Top,Belle Fille,499,5,"\"Green solid knitted top with applique detail",has a round neck,1,1,7,6
HIGHLANDER Men Off-White & Yellow Slim Fit Checked Casual Shirt,HIGHLANDER,699,5,"\"Off-White and yellow checked casual shirt",has a spread collar,0,1,6,10
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Briefs XYBRF2PCKN281,XYXX,628,4,"\"Pack of 2 briefs in Blue & Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.",Unknown,0,1,20,12
Moedbuille Women Pink & Greman Silver Necklace,Moedbuille,674,4,Pink and orange silver-plated necklaceMaterial and stone type: German Silver with Artificial Stones and BeadsPlating: Silver-PlatedClosure: Lobster ClosureWarranty: 1 monthWarranty provided by brand/manufacturer,Pink,1,1,23,7
SHISEIDO 02 Chiyoko Minimalist Whipped Powder Blush 5 g,SHISEIDO,2250,4,"\"Shade No: 02Shade Name: Chiyoko What it isThis air-whipped cream blush transforms into a long-lasting",weightless,1,1,15,9
RICHARD PARKER by Pantaloons Men Black Slim Fit Printed Party Shirt,RICHARD PARKER by Pantaloons,1299,5,"\"Black printed party shirt",has a spread collar,0,1,4,11
Fame Forever by Lifestyle Men Navy Blue Printed Round Neck T-shirt,Fame Forever by Lifestyle,299,4,"\"Navy Blue printed T-shirt",has a round neck,0,1,4,11
Sonata Men Black Printed Leather Strap Analogue Watch 77086PL01,Sonata,875,6,"\"Pack Contains: Single watchDisplay: AnalogueMovement: QuartzPower Source: BatteryDial style: Black printed round stainless steel dialFeatures: Reset timeStrap Style: Mustard yellow",regular,0,1,20,9
Roadster Women Blue Boyfriend Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,1899,7,"\"Blue light wash 5-pocket mid-rise jeans",clean look,1,1,6,10
Sonata Reloaded Men Black Analogue watch 7924SL11,Sonata,1299,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Black regular","leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case\"",0,1,15,7
Kazo Women Green Solid Top,Kazo,760,5,"\"Green solid knitted regular top",has a V-neck,1,1,5,5
Newport Men Green Printed Round Neck T-shirt,Newport,479,5,"\"Green and Blue printed T-shirt",has a round neck,0,1,5,7
FirstClap Kids Grey Camouflage Printed Slim-Fit Dungarees,FirstClap,1799,3,"\"Grey camouflage printed three-fourth length dungarees",has a waistband with belt loops,2,0,6,7
KARATCART Peach-Coloured & Off-White Gold-Plated Stone-Studded Crescent Shaped Chandbalis,KARATCART,486,4,Peach-coloured and off-white gold-plated stone-studded crescent shaped chandbalis with beaded detailSecured with a post and back closure,Red,1,1,17,9
Archies Love Gifts White 2-Pieces Printed Ceramic Cups Set,Archies,1099,5,Content: 2 pieces cups setPattern: PrintedFinish: MatteMaterial: CeramicFeatures: Dishwasher and Microwave Safe,White,2,1,12,9
Kappa Men Turquoise Blue Solid Polo T-shirt,Kappa,594,5,"\"Turquoise blue pique knit polo?T-shirt",has a polo collar,0,1,5,7
BuckleUp Women Black Solid Ballerinas,BuckleUp,1048,5,"\"A pair of black round-toe flats",has regular styling,1,1,6,5
Mast & Harbour Women Red Solid Pullover Sweater,Mast & Harbour,699,5,"\"Red solid pullover sweater",has a round neck,1,1,4,8
Archies Love Gifts White & Black 2-Pieces Printed Ceramic Mugs Set,Archies,1099,5,Content: 2 pieces mugs setPattern: PrintedFinish: MatteMaterial: CeramicFeatures: Dishwasher and Microwave Safe,Black,2,1,12,11
Karmic Vision Women Beige Solid Lace Detail Top,Karmic Vision,669,5,"\"Beige solid woven regular top with lace detail",has a boat neck,1,1,8,8
Franco Leone Men Brown Solid Leather Formal Slip-Ons,Franco Leone,1031,5,A pair of brown round-toed solid formal slip-onsLeather upperCushioned footbedTextured and patterned outsole with a stacked heelWarranty: 3 monthsWarranty provided by Brand Owner / Manufacturer,Brown,0,1,25,8
Indian Terrain Boys Black & Yellow Regular Fit Checked Casual Shirt,Indian Terrain,519,5,"\"Black and Yellow checked casual shirt",has a spread collar,0,0,6,11
Indian Terrain Boys Yellow Printed Sweatshirt,Indian Terrain,539,5,"\"Yellow Printed Sweatshirt",has round neck,0,0,3,6
Indian Terrain Men Khaki Urban Tapered Fit Self Design Smart Casual Regular Trousers,Indian Terrain,1079,7,"\"Khaki self-design low-rise smart casual regular trousers",button closure,0,1,7,13
Indian Terrain Men Burgundy Brooklyn Slim Fit Solid Chinos,Indian Terrain,1399,5,"\"Burgundy solid low-rise trousers",button closure,0,1,4,9
Indian Terrain Men White Slim Fit Printed Casual Shirt,Indian Terrain,1034,5,"\"White printed casual shirt",has a spread collar,0,1,4,9
Park Avenue Men Black Solid Briefs PZRA00087,Park Avenue,499,4,"\"Black solid briefs has an elasticated waistband","double layered front contoured pouch and leg openings\"",0,1,7,7
